"country_name","country_code","indicator_name","year","gdp_growth"
"Argentina","ARG","GDP growth (annual %)",1961,5.42784288
"Australia","AUS","GDP growth (annual %)",1961,2.485789429
"Austria","AUT","GDP growth (annual %)",1961,5.537979317
"Burundi","BDI","GDP growth (annual %)",1961,-13.74613505
"Belgium","BEL","GDP growth (annual %)",1961,4.978423063
"Benin","BEN","GDP growth (annual %)",1961,3.141280459
"Burkina Faso","BFA","GDP growth (annual %)",1961,4.043927977
"Bangladesh","BGD","GDP growth (annual %)",1961,6.058160825
"Bahamas, The","BHS","GDP growth (annual %)",1961,10.66709743
"Belize","BLZ","GDP growth (annual %)",1961,4.892277219
"Bermuda","BMU","GDP growth (annual %)",1961,4.68
"Bolivia","BOL","GDP growth (annual %)",1961,2.089295936
"Brazil","BRA","GDP growth (annual %)",1961,10.27591155
"Botswana","BWA","GDP growth (annual %)",1961,6.343283719
"Central African Republic","CAF","GDP growth (annual %)",1961,4.953553798
"Canada","CAN","GDP growth (annual %)",1961,3.163291684
"Chile","CHL","GDP growth (annual %)",1961,5.245271886
"China","CHN","GDP growth (annual %)",1961,-27.27
"Cote d'Ivoire","CIV","GDP growth (annual %)",1961,9.932555156
"Cameroon","CMR","GDP growth (annual %)",1961,1.183680812
"Congo, Dem. Rep.","COD","GDP growth (annual %)",1961,-10.85137608
"Congo, Rep.","COG","GDP growth (annual %)",1961,8.350726724
"Colombia","COL","GDP growth (annual %)",1961,5.089216984
"Costa Rica","CRI","GDP growth (annual %)",1961,1.879276559
"Denmark","DNK","GDP growth (annual %)",1961,6.378832476
"Dominican Republic","DOM","GDP growth (annual %)",1961,-2.31324875
"Algeria","DZA","GDP growth (annual %)",1961,-13.60544133
"East Asia & Pacific (excluding high income)","EAP","GDP growth (annual %)",1961,-11.24585895
"Early-demographic dividend","EAR","GDP growth (annual %)",1961,4.37465166
"East Asia & Pacific","EAS","GDP growth (annual %)",1961,5.882864218
"Ecuador","ECU","GDP growth (annual %)",1961,5.124414881
"Egypt, Arab Rep.","EGY","GDP growth (annual %)",1961,5.161114145
"Euro area","EMU","GDP growth (annual %)",1961,6.572480391
"Spain","ESP","GDP growth (annual %)",1961,11.83867419
"European Union","EUU","GDP growth (annual %)",1961,5.536039378
"Finland","FIN","GDP growth (annual %)",1961,7.604670479
"Fiji","FJI","GDP growth (annual %)",1961,3.517582004
"France","FRA","GDP growth (annual %)",1961,4.980111849
"Gabon","GAB","GDP growth (annual %)",1961,14.76684319
"United Kingdom","GBR","GDP growth (annual %)",1961,2.677118943
"Ghana","GHA","GDP growth (annual %)",1961,3.429674012
"Greece","GRC","GDP growth (annual %)",1961,13.20384119
"Guatemala","GTM","GDP growth (annual %)",1961,4.298518348
"Guyana","GUY","GDP growth (annual %)",1961,4.689524309
"High income","HIC","GDP growth (annual %)",1961,4.721186581
"Honduras","HND","GDP growth (annual %)",1961,1.855659321
"Heavily indebted poor countries (HIPC)","HPC","GDP growth (annual %)",1961,0.059728832
"Haiti","HTI","GDP growth (annual %)",1961,-2.93198029
"IBRD only","IBD","GDP growth (annual %)",1961,2.527449231
"IDA & IBRD total","IBT","GDP growth (annual %)",1961,2.364362579
"IDA total","IDA","GDP growth (annual %)",1961,1.130830212
"IDA blend","IDB","GDP growth (annual %)",1961,1.277655931
"Indonesia","IDN","GDP growth (annual %)",1961,5.740645823
"IDA only","IDX","GDP growth (annual %)",1961,0.987642274
"India","IND","GDP growth (annual %)",1961,3.722742533
"Iran, Islamic Rep.","IRN","GDP growth (annual %)",1961,11.47760109
"Iceland","ISL","GDP growth (annual %)",1961,-0.084661946
"Israel","ISR","GDP growth (annual %)",1961,11.20388562
"Italy","ITA","GDP growth (annual %)",1961,8.207245914
"Japan","JPN","GDP growth (annual %)",1961,12.04353641
"Kenya","KEN","GDP growth (annual %)",1961,-7.774634904
"Korea, Rep.","KOR","GDP growth (annual %)",1961,6.882255997
"Latin America & Caribbean (excluding high income)","LAC","GDP growth (annual %)",1961,6.602763196
"Latin America & Caribbean","LCN","GDP growth (annual %)",1961,6.542272168
