"country_code","country_name","income_group","year","indicator_name","gdp"
"DZA","Algeria","Upper middle income (UM)",1987,"GDP (current US$)",66742267773
"ATG","Antigua and Barbuda","Upper middle income (UM)",1987,"GDP (current US$)",337174861.9
"ARG","Argentina","Upper middle income (UM)",1987,"GDP (current US$)",1.11106e+11
"ABW","Aruba","High income (H)",1987,"GDP (current US$)",487602457.7
"AUS","Australia","High income (H)",1987,"GDP (current US$)",1.8906e+11
"AUT","Austria","High income (H)",1987,"GDP (current US$)",1.24168e+11
"BHS","Bahamas, The","High income (H)",1987,"GDP (current US$)",2713999900
"BHR","Bahrain","High income (H)",1987,"GDP (current US$)",3392021011
"BGD","Bangladesh","Low income (L)",1987,"GDP (current US$)",24298032258
"BRB","Barbados","Upper middle income (UM)",1987,"GDP (current US$)",1448714762
"BEL","Belgium","High income (H)",1987,"GDP (current US$)",1.49394e+11
"BLZ","Belize","Lower middle income (LM)",1987,"GDP (current US$)",281082558.6
"BEN","Benin","Low income (L)",1987,"GDP (current US$)",1562412030
"BMU","Bermuda","High income (H)",1987,"GDP (current US$)",1296499968
"BTN","Bhutan","Low income (L)",1987,"GDP (current US$)",253182453.7
"BOL","Bolivia","Lower middle income (LM)",1987,"GDP (current US$)",4323623622
"BWA","Botswana","Lower middle income (LM)",1987,"GDP (current US$)",1965274882
"BRA","Brazil","Upper middle income (UM)",1987,"GDP (current US$)",2.94084e+11
"BRN","Brunei Darussalam","High income (H)",1987,"GDP (current US$)",2754463438
"BFA","Burkina Faso","Low income (L)",1987,"GDP (current US$)",2369835439
"BDI","Burundi","Low income (L)",1987,"GDP (current US$)",1131466494
"CMR","Cameroon","Lower middle income (LM)",1987,"GDP (current US$)",12302471429
"CAN","Canada","High income (H)",1987,"GDP (current US$)",4.31317e+11
"CAF","Central African Republic","Low income (L)",1987,"GDP (current US$)",1200991826
"TCD","Chad","Low income (L)",1987,"GDP (current US$)",1163426851
"CHL","Chile","Lower middle income (LM)",1987,"GDP (current US$)",22255407685
"CHN","China","Low income (L)",1987,"GDP (current US$)",2.72973e+11
"COL","Colombia","Lower middle income (LM)",1987,"GDP (current US$)",36373307085
"COM","Comoros","Low income (L)",1987,"GDP (current US$)",337525870.6
"COD","Congo, Dem. Rep.","Low income (L)",1987,"GDP (current US$)",7661625473
"COG","Congo, Rep.","Lower middle income (LM)",1987,"GDP (current US$)",2297753649
"CRI","Costa Rica","Lower middle income (LM)",1987,"GDP (current US$)",4532952047
"CIV","Côte d'Ivoire","Lower middle income (LM)",1987,"GDP (current US$)",10087653189
"CYP","Cyprus","Upper middle income (UM)",1987,"GDP (current US$)",3704813886
"DNK","Denmark","High income (H)",1987,"GDP (current US$)",1.09414e+11
"DMA","Dominica","Lower middle income (LM)",1987,"GDP (current US$)",151868754.4
"DOM","Dominican Republic","Lower middle income (LM)",1987,"GDP (current US$)",5826987099
"ECU","Ecuador","Lower middle income (LM)",1987,"GDP (current US$)",13945431882
"EGY","Egypt, Arab Rep.","Lower middle income (LM)",1987,"GDP (current US$)",40455616654
"SLV","El Salvador","Lower middle income (LM)",1987,"GDP (current US$)",3958045800
"GNQ","Equatorial Guinea","Low income (L)",1987,"GDP (current US$)",93345847.73
"SWZ","Eswatini","Lower middle income (LM)",1987,"GDP (current US$)",584135559.9
"ETH","Ethiopia","Low income (L)",1987,"GDP (current US$)",10527338647
"FJI","Fiji","Lower middle income (LM)",1987,"GDP (current US$)",1177908192
"FIN","Finland","High income (H)",1987,"GDP (current US$)",91594751792
"FRA","France","High income (H)",1987,"GDP (current US$)",9.34173e+11
"GAB","Gabon","Upper middle income (UM)",1987,"GDP (current US$)",3281797039
"GMB","Gambia, The","Low income (L)",1987,"GDP (current US$)",220626484.2
"DEU","Germany","High income (H)",1987,"GDP (current US$)",1.29818e+12
"GHA","Ghana","Low income (L)",1987,"GDP (current US$)",5074829932
"GRC","Greece","Upper middle income (UM)",1987,"GDP (current US$)",65652751132
"GRL","Greenland","High income (H)",1987,"GDP (current US$)",787392365.8
"GRD","Grenada","Lower middle income (LM)",1987,"GDP (current US$)",215009569.6
"GTM","Guatemala","Lower middle income (LM)",1987,"GDP (current US$)",7084399840
"GIN","Guinea","Low income (L)",1987,"GDP (current US$)",2041538057
"GNB","Guinea-Bissau","Low income (L)",1987,"GDP (current US$)",173836362
"GUY","Guyana","Low income (L)",1987,"GDP (current US$)",354591846.9
"HTI","Haiti","Low income (L)",1987,"GDP (current US$)",2047200000
"HND","Honduras","Lower middle income (LM)",1987,"GDP (current US$)",6190521241
"HKG","Hong Kong SAR, China","High income (H)",1987,"GDP (current US$)",50622571586
"ISL","Iceland","High income (H)",1987,"GDP (current US$)",5528616190
"IND","India","Low income (L)",1987,"GDP (current US$)",2.79034e+11
"IDN","Indonesia","Low income (L)",1987,"GDP (current US$)",75929617577
"IRN","Iran, Islamic Rep.","Upper middle income (UM)",1987,"GDP (current US$)",1.3401e+11
"IRQ","Iraq","Upper middle income (UM)",1987,"GDP (current US$)",56609842393
"IRL","Ireland","High income (H)",1987,"GDP (current US$)",33961141386
"ISR","Israel","High income (H)",1987,"GDP (current US$)",40963279140
"ITA","Italy","High income (H)",1987,"GDP (current US$)",8.05713e+11
