"country_name","country_code","indicator_name","year","gdp_growth"
"United States","USA","GDP growth (annual %)",1961,2.3
"World","WLD","GDP growth (annual %)",1961,4.300373757
"United States","USA","GDP growth (annual %)",1962,6.1
"World","WLD","GDP growth (annual %)",1962,5.554035698
"United States","USA","GDP growth (annual %)",1963,4.4
"World","WLD","GDP growth (annual %)",1963,5.353451424
"United States","USA","GDP growth (annual %)",1964,5.8
"World","WLD","GDP growth (annual %)",1964,6.714764055
"United States","USA","GDP growth (annual %)",1965,6.4
"World","WLD","GDP growth (annual %)",1965,5.519450662
"United States","USA","GDP growth (annual %)",1966,6.5
"World","WLD","GDP growth (annual %)",1966,5.769563226
"United States","USA","GDP growth (annual %)",1967,2.5
"World","WLD","GDP growth (annual %)",1967,4.48689164
"United States","USA","GDP growth (annual %)",1968,4.8
"World","WLD","GDP growth (annual %)",1968,6.315078052
"United States","USA","GDP growth (annual %)",1969,3.1
"World","WLD","GDP growth (annual %)",1969,6.116577005
"United States","USA","GDP growth (annual %)",1970,-0.254079593
"World","WLD","GDP growth (annual %)",1970,3.535942287
"United States","USA","GDP growth (annual %)",1971,3.293362378
"World","WLD","GDP growth (annual %)",1971,4.342756029
"United States","USA","GDP growth (annual %)",1972,5.258895358
"World","WLD","GDP growth (annual %)",1972,5.726048819
"United States","USA","GDP growth (annual %)",1973,5.64571947
"World","WLD","GDP growth (annual %)",1973,6.505465892
"United States","USA","GDP growth (annual %)",1974,-0.540546529
"World","WLD","GDP growth (annual %)",1974,1.996563711
"United States","USA","GDP growth (annual %)",1975,-0.205464012
"World","WLD","GDP growth (annual %)",1975,0.602978792
"United States","USA","GDP growth (annual %)",1976,5.388139227
"World","WLD","GDP growth (annual %)",1976,5.272405894
"United States","USA","GDP growth (annual %)",1977,4.624159207
"World","WLD","GDP growth (annual %)",1977,3.934633549
"United States","USA","GDP growth (annual %)",1978,5.535302693
"World","WLD","GDP growth (annual %)",1978,3.889419493
"United States","USA","GDP growth (annual %)",1979,3.166150271
"World","WLD","GDP growth (annual %)",1979,4.124186684
"United States","USA","GDP growth (annual %)",1980,-0.256751931
"World","WLD","GDP growth (annual %)",1980,1.904212329
"United States","USA","GDP growth (annual %)",1981,2.537718698
"World","WLD","GDP growth (annual %)",1981,1.922996979
"United States","USA","GDP growth (annual %)",1982,-1.802874453
"World","WLD","GDP growth (annual %)",1982,0.431396294
"United States","USA","GDP growth (annual %)",1983,4.583927316
"World","WLD","GDP growth (annual %)",1983,2.412084489
"United States","USA","GDP growth (annual %)",1984,7.236619994
"World","WLD","GDP growth (annual %)",1984,4.505591869
"United States","USA","GDP growth (annual %)",1985,4.169655954
"World","WLD","GDP growth (annual %)",1985,3.713639002
"United States","USA","GDP growth (annual %)",1986,3.462651713
"World","WLD","GDP growth (annual %)",1986,3.3961589
"United States","USA","GDP growth (annual %)",1987,3.459572555
"World","WLD","GDP growth (annual %)",1987,3.702151143
"United States","USA","GDP growth (annual %)",1988,4.177046384
"World","WLD","GDP growth (annual %)",1988,4.617448788
"United States","USA","GDP growth (annual %)",1989,3.672656329
"World","WLD","GDP growth (annual %)",1989,3.678421679
"United States","USA","GDP growth (annual %)",1990,1.885960323
"World","WLD","GDP growth (annual %)",1990,2.918371594
"United States","USA","GDP growth (annual %)",1991,-0.108259105
"World","WLD","GDP growth (annual %)",1991,1.478488534
"United States","USA","GDP growth (annual %)",1992,3.522442494
"World","WLD","GDP growth (annual %)",1992,1.763207497
"United States","USA","GDP growth (annual %)",1993,2.752844327
"World","WLD","GDP growth (annual %)",1993,1.517203783
"United States","USA","GDP growth (annual %)",1994,4.028839064
"World","WLD","GDP growth (annual %)",1994,2.988271479
"United States","USA","GDP growth (annual %)",1995,2.684287132
"World","WLD","GDP growth (annual %)",1995,3.040021373
"United States","USA","GDP growth (annual %)",1996,3.772501319
"World","WLD","GDP growth (annual %)",1996,3.378779851
"United States","USA","GDP growth (annual %)",1997,4.447216343
"World","WLD","GDP growth (annual %)",1997,3.682507131
"United States","USA","GDP growth (annual %)",1998,4.481407555
"World","WLD","GDP growth (annual %)",1998,2.553421484
"United States","USA","GDP growth (annual %)",1999,4.753235989
"World","WLD","GDP growth (annual %)",1999,3.243334114
"United States","USA","GDP growth (annual %)",2000,4.127484014
"World","WLD","GDP growth (annual %)",2000,4.383542814
"United States","USA","GDP growth (annual %)",2001,0.998340795
"World","WLD","GDP growth (annual %)",2001,1.949442694
"United States","USA","GDP growth (annual %)",2002,1.74169525
"World","WLD","GDP growth (annual %)",2002,2.176384092
"United States","USA","GDP growth (annual %)",2003,2.861210767
"World","WLD","GDP growth (annual %)",2003,2.956849631
"United States","USA","GDP growth (annual %)",2004,3.798891127
"World","WLD","GDP growth (annual %)",2004,4.402955476
"United States","USA","GDP growth (annual %)",2005,3.513213797
"World","WLD","GDP growth (annual %)",2005,3.914924965
"United States","USA","GDP growth (annual %)",2006,2.854972292
"World","WLD","GDP growth (annual %)",2006,4.379508585
"United States","USA","GDP growth (annual %)",2007,1.876171458
"World","WLD","GDP growth (annual %)",2007,4.319258315
"United States","USA","GDP growth (annual %)",2008,-0.136579805
"World","WLD","GDP growth (annual %)",2008,1.850560542
"United States","USA","GDP growth (annual %)",2009,-2.536757066
"World","WLD","GDP growth (annual %)",2009,-1.678927641
"United States","USA","GDP growth (annual %)",2010,2.563766559
"World","WLD","GDP growth (annual %)",2010,4.298923039
"United States","USA","GDP growth (annual %)",2011,1.550835506
"World","WLD","GDP growth (annual %)",2011,3.132980367
"United States","USA","GDP growth (annual %)",2012,2.249545852
"World","WLD","GDP growth (annual %)",2012,2.507633769
"United States","USA","GDP growth (annual %)",2013,1.842081071
"World","WLD","GDP growth (annual %)",2013,2.654362447
"United States","USA","GDP growth (annual %)",2014,2.451973035
"World","WLD","GDP growth (annual %)",2014,2.833184774
"United States","USA","GDP growth (annual %)",2015,2.880910466
"World","WLD","GDP growth (annual %)",2015,2.80594172
"United States","USA","GDP growth (annual %)",2016,1.56721517
"World","WLD","GDP growth (annual %)",2016,2.481500069
"United States","USA","GDP growth (annual %)",2017,2.21701033
"World","WLD","GDP growth (annual %)",2017,3.108815121
"United States","USA","GDP growth (annual %)",2018,2.927322728
"World","WLD","GDP growth (annual %)",2018,2.973650893
