DATE,Speard ,Yield
6/1/76,10 years - 2 years,0.68
6/2/76,10 years - 2 years,0.71
6/3/76,10 years - 2 years,0.7
6/4/76,10 years - 2 years,0.77
6/7/76,10 years - 2 years,0.79
6/8/76,10 years - 2 years,0.79
6/9/76,10 years - 2 years,0.82
6/10/76,10 years - 2 years,0.86
6/11/76,10 years - 2 years,0.83
6/14/76,10 years - 2 years,0.83
6/15/76,10 years - 2 years,0.83
6/16/76,10 years - 2 years,0.81
6/17/76,10 years - 2 years,0.79
6/18/76,10 years - 2 years,0.82
6/21/76,10 years - 2 years,0.85
6/22/76,10 years - 2 years,0.8
6/23/76,10 years - 2 years,0.8
6/24/76,10 years - 2 years,0.82
6/25/76,10 years - 2 years,0.81
6/28/76,10 years - 2 years,0.84
6/29/76,10 years - 2 years,0.84
6/30/76,10 years - 2 years,0.84
7/1/76,10 years - 2 years,0.86
7/2/76,10 years - 2 years,0.85
7/5/76,10 years - 2 years,.
7/6/76,10 years - 2 years,0.86
7/7/76,10 years - 2 years,0.85
7/8/76,10 years - 2 years,0.9
7/9/76,10 years - 2 years,1.01
7/12/76,10 years - 2 years,1.04
7/13/76,10 years - 2 years,1.03
7/14/76,10 years - 2 years,1.03
7/15/76,10 years - 2 years,1.05
7/16/76,10 years - 2 years,0.98
7/19/76,10 years - 2 years,0.97
7/20/76,10 years - 2 years,0.96
7/21/76,10 years - 2 years,0.96
7/22/76,10 years - 2 years,0.95
7/23/76,10 years - 2 years,0.94
7/26/76,10 years - 2 years,1.01
7/27/76,10 years - 2 years,1.09
7/28/76,10 years - 2 years,1.06
7/29/76,10 years - 2 years,1.1
7/30/76,10 years - 2 years,1.12
8/2/76,10 years - 2 years,1.1
8/3/76,10 years - 2 years,1.1
8/4/76,10 years - 2 years,1.08
8/5/76,10 years - 2 years,1.08
8/6/76,10 years - 2 years,1.13
8/9/76,10 years - 2 years,1.16
8/10/76,10 years - 2 years,1.16
8/11/76,10 years - 2 years,1.16
8/12/76,10 years - 2 years,1.17
8/13/76,10 years - 2 years,1.18
8/16/76,10 years - 2 years,1.17
8/17/76,10 years - 2 years,1.18
8/18/76,10 years - 2 years,1.17
8/19/76,10 years - 2 years,1.15
8/20/76,10 years - 2 years,1.08
8/23/76,10 years - 2 years,1.11
8/24/76,10 years - 2 years,1.12
8/25/76,10 years - 2 years,1.16
8/26/76,10 years - 2 years,1.14
8/27/76,10 years - 2 years,1.12
8/30/76,10 years - 2 years,1.14
8/31/76,10 years - 2 years,1.16
9/1/76,10 years - 2 years,1.14
9/2/76,10 years - 2 years,1.13
9/3/76,10 years - 2 years,1.13
9/6/76,10 years - 2 years,.
9/7/76,10 years - 2 years,1.18
9/8/76,10 years - 2 years,1.2
9/9/76,10 years - 2 years,1.17
9/10/76,10 years - 2 years,1.18
9/13/76,10 years - 2 years,1.17
9/14/76,10 years - 2 years,1.15
9/15/76,10 years - 2 years,1.17
9/16/76,10 years - 2 years,1.19
9/17/76,10 years - 2 years,1.23
9/20/76,10 years - 2 years,1.18
9/21/76,10 years - 2 years,1.21
9/22/76,10 years - 2 years,1.17
9/23/76,10 years - 2 years,1.19
9/24/76,10 years - 2 years,1.14
9/27/76,10 years - 2 years,1.19
9/28/76,10 years - 2 years,1.2
9/29/76,10 years - 2 years,1.2
9/30/76,10 years - 2 years,1.22
10/1/76,10 years - 2 years,1.25
10/4/76,10 years - 2 years,1.27
10/5/76,10 years - 2 years,1.28
10/6/76,10 years - 2 years,1.33
10/7/76,10 years - 2 years,1.34
10/8/76,10 years - 2 years,1.51
10/11/76,10 years - 2 years,.
10/12/76,10 years - 2 years,1.55
10/13/76,10 years - 2 years,1.53
10/14/76,10 years - 2 years,1.53
10/15/76,10 years - 2 years,1.56
10/18/76,10 years - 2 years,1.54
10/19/76,10 years - 2 years,1.5
10/20/76,10 years - 2 years,1.43
10/21/76,10 years - 2 years,1.41
10/22/76,10 years - 2 years,1.41
10/25/76,10 years - 2 years,1.42
10/26/76,10 years - 2 years,1.43
10/27/76,10 years - 2 years,1.44
10/28/76,10 years - 2 years,1.42
10/29/76,10 years - 2 years,1.39
11/1/76,10 years - 2 years,1.35
11/2/76,10 years - 2 years,.
11/3/76,10 years - 2 years,1.37
11/4/76,10 years - 2 years,1.43
11/5/76,10 years - 2 years,1.4
11/8/76,10 years - 2 years,1.42
